aX,aY,aZ,gX,gY,gZ
0.544,-0.795,-0.364,-2.197,3.113,-5.859
0.550,-0.780,-0.362,-3.357,1.892,-5.249
0.548,-0.762,-0.363,-4.517,0.549,-4.028
0.548,-0.757,-0.365,-5.432,-1.160,-3.052
0.536,-0.754,-0.366,-5.554,-1.953,-1.770
0.526,-0.758,-0.368,-5.249,-2.014,-0.305
0.520,-0.768,-0.370,-4.456,-1.770,-0.244
0.517,-0.783,-0.363,-3.357,-1.221,-1.343
0.506,-0.780,-0.349,-2.197,-0.061,-2.380
0.509,-0.782,-0.346,-1.831,1.465,-3.296
0.521,-0.783,-0.349,-2.380,2.441,-4.639
0.535,-0.780,-0.350,-3.052,3.052,-5.310
0.540,-0.773,-0.349,-3.784,3.357,-5.371
0.541,-0.768,-0.345,-3.967,2.930,-4.395
0.547,-0.771,-0.339,-3.906,2.075,-3.418
0.555,-0.783,-0.337,-4.578,1.526,-2.808
0.556,-0.793,-0.327,-5.859,1.099,-1.770
0.558,-0.796,-0.325,-7.019,0.610,-0.427
0.556,-0.801,-0.329,-7.812,0.305,-0.122
0.554,-0.805,-0.326,-7.629,-0.793,-0.671
0.547,-0.805,-0.323,-6.592,-2.075,-1.526
0.544,-0.806,-0.325,-5.554,-3.235,-2.625
0.538,-0.805,-0.337,-4.944,-4.395,-3.418
0.534,-0.795,-0.346,-4.883,-5.310,-4.272
0.534,-0.789,-0.357,-5.371,-5.432,-4.761
0.526,-0.790,-0.362,-5.981,-4.761,-4.333
0.512,-0.795,-0.360,-6.958,-3.174,-3.784
0.503,-0.803,-0.355,-8.789,-0.244,-3.967
0.512,-0.813,-0.358,-11.108,3.296,-4.517
0.521,-0.811,-0.360,-12.939,7.202,-4.272
0.524,-0.797,-0.356,-13.489,10.254,-4.028
0.535,-0.789,-0.360,-12.268,11.597,-4.822
0.543,-0.790,-0.356,-9.766,10.986,-6.226
0.544,-0.791,-0.348,-6.836,9.521,-7.080
0.542,-0.792,-0.348,-4.211,8.301,-7.202
0.545,-0.796,-0.351,-2.502,6.775,-6.958
0.526,-0.805,-0.349,-2.197,5.188,-6.104
0.527,-0.815,-0.343,-2.930,4.272,-4.700
0.530,-0.823,-0.346,-3.235,4.089,-3.357
0.523,-0.827,-0.342,-4.211,3.967,-2.930
0.522,-0.829,-0.337,-4.822,3.601,-3.296
