aX,aY,aZ,gX,gY,gZ
-0.267,1.978,-0.575,-400.146,-348.389,-102.783
-0.379,1.788,-0.281,-389.160,-369.080,-120.667
-0.464,1.563,0.051,-363.586,-391.174,-143.127
-0.586,1.311,0.390,-328.796,-410.583,-165.405
-0.658,1.060,0.701,-297.119,-418.091,-182.861
-0.697,0.798,1.008,-273.315,-411.621,-192.749
-0.733,0.542,1.332,-258.972,-391.235,-195.251
-0.676,0.354,1.673,-253.418,-356.995,-190.857
-0.662,0.213,1.908,-252.258,-305.420,-179.626
-0.646,0.075,2.001,-257.019,-245.544,-163.879
-0.674,-0.095,2.097,-265.686,-192.139,-151.550
-0.817,-0.341,2.225,-271.790,-151.245,-145.996
-0.906,-0.628,2.413,-267.212,-125.732,-143.555
-0.852,-0.773,2.573,-239.990,-110.107,-133.911
-0.733,-0.731,2.622,-193.542,-98.999,-117.310
-0.551,-0.481,2.542,-135.864,-88.318,-105.713
-0.382,-0.262,2.405,-82.947,-71.838,-105.530
-0.247,-0.101,2.184,-48.401,-49.316,-109.253
-0.167,0.078,1.923,-36.316,-19.836,-105.713
-0.130,0.266,1.620,-45.715,16.785,-98.267
-0.165,0.307,1.328,-69.214,46.387,-91.736
-0.229,0.221,1.164,-96.313,56.824,-89.111
-0.295,0.104,1.108,-114.746,44.800,-90.393
-0.308,-0.002,1.166,-118.347,18.311,-91.736
-0.295,-0.122,1.269,-106.445,-8.179,-94.238
-0.318,-0.267,1.401,-85.388,-26.733,-100.281
-0.404,-0.470,1.516,-61.157,-33.997,-102.051
-0.445,-0.637,1.578,-43.823,-30.273,-94.482
-0.396,-0.644,1.571,-36.621,-16.418,-80.383
-0.307,-0.595,1.458,-33.325,2.502,-66.589
-0.191,-0.493,1.293,-32.104,20.752,-54.932
-0.124,-0.405,1.065,-32.288,33.142,-46.021
-0.082,-0.367,0.922,-32.349,34.546,-40.771
-0.034,-0.365,0.828,-31.494,25.757,-40.283
-0.006,-0.347,0.802,-28.259,12.146,-39.490
0.055,-0.357,0.811,-28.442,-0.977,-37.964
0.180,-0.297,0.854,-33.813,-6.042,-36.499
0.229,-0.333,0.875,-40.771,-2.380,-37.537
0.248,-0.450,0.911,-48.340,3.784,-39.246
0.297,-0.463,0.942,-48.645,9.338,-37.964
0.286,-0.497,0.929,-41.626,14.404,-35.889
0.287,-0.573,0.911,-35.767,17.334,-34.302
0.313,-0.556,0.877,-29.358,18.005,-28.687
0.327,-0.500,0.844,-20.386,15.991,-24.414
0.337,-0.493,0.829,-14.709,12.268,-25.208
0.348,-0.515,0.821,-15.625,9.338,-26.184
0.352,-0.557,0.838,-19.348,8.606,-26.367
0.388,-0.554,0.871,-23.987,11.292,-25.818
0.417,-0.521,0.875,-26.428,15.198,-23.865
0.412,-0.532,0.849,-28.503,19.836,-23.743
0.440,-0.486,0.813,-32.776,23.804,-22.095
0.422,-0.457,0.758,-34.058,24.597,-22.217
0.381,-0.541,0.759,-33.386,19.226,-25.574
0.371,-0.577,0.810,-28.687,11.169,-24.780
0.340,-0.579,0.857,-23.010,5.859,-22.888
