aX,aY,aZ,gX,gY,gZ
-0.145,0.125,0.067,4.700,-48.584,-4.822
-0.136,0.115,0.109,4.089,-40.344,-3.052
-0.125,0.089,0.162,5.005,-36.743,-0.549
-0.141,0.055,0.177,5.310,-35.278,4.150
-0.182,0.036,0.151,1.953,-35.034,12.451
-0.228,0.016,0.132,-1.221,-34.546,20.447
-0.281,-0.013,0.122,-1.465,-32.837,25.635
-0.347,-0.040,0.134,-1.404,-28.564,27.710
-0.392,-0.071,0.187,-0.671,-22.278,25.085
-0.408,-0.089,0.271,1.282,-14.832,19.775
-0.416,-0.077,0.357,2.808,-5.249,14.648
-0.378,-0.078,0.455,5.005,4.272,8.423
-0.324,-0.057,0.531,7.202,12.024,1.770
-0.281,-0.028,0.587,9.827,15.320,-2.502
-0.277,-0.010,0.652,14.771,14.648,-4.395
-0.262,0.002,0.709,20.020,13.367,-5.798
-0.254,0.005,0.742,25.391,12.512,-6.775
-0.253,-0.011,0.802,30.945,10.498,-6.104
-0.256,-0.052,0.881,33.691,10.193,-4.272
-0.239,-0.094,0.949,29.846,13.733,-3.479
-0.218,-0.107,0.977,19.592,18.677,-1.770
-0.189,-0.096,0.955,7.690,22.888,1.648
-0.179,-0.058,0.920,-0.854,22.705,5.493
-0.184,-0.041,0.904,-3.845,18.860,7.019
-0.186,-0.039,0.893,-3.357,15.259,7.141
-0.179,-0.053,0.888,-1.099,13.245,7.202
-0.177,-0.064,0.906,1.160,11.169,7.019
-0.187,-0.074,0.920,1.831,9.277,6.653
-0.193,-0.082,0.931,2.502,8.240,6.470
-0.208,-0.077,0.955,4.517,8.057,5.371
-0.211,-0.072,0.989,5.676,9.888,2.747
-0.177,-0.086,1.006,5.493,13.428,-0.061
-0.152,-0.074,1.034,5.798,16.357,-0.977
-0.141,-0.067,1.072,7.019,15.808,-0.916
-0.127,-0.077,1.112,9.094,14.099,-1.221
-0.112,-0.085,1.118,9.277,11.597,-1.282
-0.105,-0.078,1.108,7.629,7.690,-0.305
-0.115,-0.078,1.083,6.348,4.028,1.404
-0.134,-0.078,1.073,5.615,2.075,2.930
-0.141,-0.080,1.052,5.432,2.991,3.113
-0.141,-0.090,1.047,6.653,4.517,2.686
-0.149,-0.101,1.060,7.996,5.310,1.831
-0.148,-0.105,1.054,7.629,6.104,0.183
-0.135,-0.105,1.047,6.226,6.348,-1.221
-0.141,-0.107,1.042,6.348,5.737,-1.709
-0.136,-0.103,1.022,7.507,5.676,-2.502
-0.127,-0.093,1.008,8.301,4.639,-3.357
-0.122,-0.084,1.007,9.888,2.441,-3.967
-0.120,-0.091,1.020,12.390,0.549,-5.249
-0.108,-0.098,1.014,13.672,-0.061,-5.737
-0.098,-0.105,1.003,13.672,-0.732,-5.066
-0.100,-0.100,0.989,11.963,-2.075,-3.662
-0.105,-0.096,0.957,9.705,-3.052,-1.770
-0.133,-0.094,0.931,8.362,-3.540,0.427
-0.152,-0.105,0.907,8.301,-3.723,1.648
-0.152,-0.134,0.894,8.972,-3.296,1.343
-0.170,-0.135,0.894,9.949,-3.296,0.732
-0.170,-0.137,0.879,11.414,-2.686,-1.343
-0.158,-0.131,0.884,13.489,-1.831,-3.357
-0.141,-0.116,0.874,14.832,-1.038,-4.944
-0.127,-0.103,0.859,15.564,-0.854,-5.798
-0.125,-0.098,0.853,16.235,-2.197,-5.676
-0.125,-0.104,0.856,16.724,-3.418,-5.127
-0.123,-0.105,0.824,15.442,-3.479,-3.723
-0.135,-0.098,0.788,13.977,-4.211,-0.916
-0.145,-0.093,0.765,13.916,-5.676,1.770
-0.145,-0.095,0.743,15.747,-6.104,3.174
-0.144,-0.107,0.715,19.592,-6.470,4.150
-0.154,-0.109,0.730,23.376,-7.202,4.639
-0.156,-0.111,0.721,25.940,-6.104,4.578
-0.164,-0.114,0.729,28.137,-5.981,4.883
-0.167,-0.121,0.769,29.358,-6.348,5.249
-0.145,-0.133,0.760,27.954,-3.723,5.615
-0.104,-0.110,0.742,26.733,-1.709,6.653
-0.078,-0.105,0.723,26.489,-3.967,7.568
-0.050,-0.091,0.711,26.306,-8.545,9.338
-0.051,-0.062,0.668,26.123,-14.160,12.207
-0.061,-0.048,0.665,28.320,-20.630,16.602
-0.075,-0.077,0.723,33.325,-25.146,20.996
-0.123,-0.115,0.745,34.119,-24.475,24.719
-0.135,-0.117,0.717,29.602,-20.569,28.870
-0.170,-0.142,0.724,26.123,-18.616,32.837
