aX,aY,aZ,gX,gY,gZ
-0.746,0.241,3.105,73.242,-10.620,67.871
-0.593,0.193,3.119,100.586,-7.385,77.942
-0.396,0.115,3.024,121.338,-10.498,81.482
-0.243,0.031,2.957,131.531,-16.907,79.224
-0.083,-0.001,2.853,134.216,-17.212,71.838
0.105,-0.050,2.634,131.531,-12.756,61.157
0.234,-0.070,2.489,120.667,-10.681,48.584
0.432,-0.058,2.328,103.577,-9.766,37.537
0.518,0.032,2.138,81.055,-12.024,24.902
0.545,0.011,2.103,55.725,-21.729,10.925
0.583,0.057,2.008,30.151,-26.733,-1.404
0.669,0.133,1.904,6.287,-30.701,-10.864
0.731,0.161,1.849,-16.235,-39.856,-20.020
0.849,0.240,1.792,-33.997,-52.368,-25.391
0.911,0.275,1.764,-40.588,-64.697,-23.926
0.966,0.247,1.741,-37.048,-78.735,-18.860
1.019,0.217,1.723,-28.564,-90.576,-12.329
1.050,0.216,1.643,-17.517,-99.915,-7.019
0.990,0.196,1.612,-5.066,-108.643,-2.808
0.951,0.219,1.620,12.939,-112.915,5.920
1.013,0.292,1.553,37.903,-109.680,16.907
1.018,0.302,1.393,66.895,-101.563,22.827
0.902,0.224,1.263,89.783,-93.689,25.757
0.851,0.222,1.227,97.473,-82.581,30.518
0.958,0.341,1.141,94.421,-71.045,36.560
1.046,0.431,1.066,89.661,-66.162,38.879
1.145,0.522,0.955,84.900,-67.200,37.231
1.247,0.575,0.865,77.942,-69.702,33.569
1.340,0.627,0.738,70.068,-75.867,32.898
1.395,0.593,0.596,66.956,-84.473,33.020
1.354,0.569,0.480,62.195,-96.985,32.166
1.360,0.575,0.277,55.847,-108.582,32.166
1.305,0.588,0.034,51.270,-121.521,33.081
1.101,0.482,-0.283,41.199,-141.785,33.447
1.013,0.413,-0.445,37.842,-144.104,36.316
0.902,0.313,-0.503,34.973,-141.602,40.894
0.778,0.223,-0.472,33.508,-124.146,42.480
0.738,0.169,-0.414,23.804,-62.683,45.044
0.705,0.049,-0.210,21.240,-37.354,43.457
0.726,-0.015,-0.082,21.484,-22.095,42.480
0.717,-0.099,0.025,25.269,-16.785,41.687
0.683,-0.219,0.118,35.217,-18.250,38.879
0.702,-0.370,0.099,47.363,-20.569,33.630
0.642,-0.506,0.027,51.697,-27.649,22.278
0.466,-0.584,-0.044,42.236,-44.434,3.357
0.263,-0.515,0.017,20.142,-63.721,-18.677
0.124,-0.290,0.097,-1.587,-76.721,-39.246
-0.000,-0.124,0.081,-7.385,-78.857,-57.556
-0.146,-0.006,0.076,-1.587,-79.529,-70.007
-0.228,0.022,0.050,11.353,-76.660,-71.899
-0.262,-0.004,-0.032,32.532,-66.833,-55.054
-0.275,0.012,-0.020,27.405,-60.181,-45.349
-0.258,0.024,0.033,8.484,-65.491,-30.273
-0.242,-0.049,0.040,-0.610,-72.632,-29.541
-0.275,-0.104,0.010,-10.742,-81.665,-31.982
-0.323,-0.106,0.016,-21.484,-87.769,-37.537
-0.364,-0.060,0.095,-30.579,-88.867,-42.297
-0.412,-0.007,0.129,-31.128,-83.069,-43.762
-0.491,0.051,0.188,-23.132,-73.547,-43.884
-0.544,0.079,0.207,-11.536,-57.861,-42.114
-0.569,0.100,0.246,-2.808,-38.025,-37.781
-0.573,0.133,0.304,1.404,-17.395,-29.053
-0.558,0.149,0.331,3.113,0.793,-18.250
-0.541,0.142,0.381,2.075,12.573,-7.690
-0.525,0.116,0.458,-1.831,18.921,1.526
-0.495,0.111,0.530,-7.263,23.804,9.277
-0.452,0.078,0.576,-12.329,29.236,15.747
-0.422,0.041,0.608,-15.808,29.297,20.081
-0.378,0.022,0.671,-18.250,24.353,22.156
-0.351,-0.006,0.711,-18.250,20.813,22.095
-0.345,-0.029,0.718,-15.198,19.836,19.043
-0.331,-0.036,0.739,-10.986,21.179,14.221
-0.317,-0.050,0.739,-6.042,23.071,9.277
-0.346,-0.059,0.736,-3.418,23.437,4.150
-0.371,-0.058,0.781,-5.249,22.522,0.061
-0.375,-0.030,0.829,-10.193,22.644,-0.305
-0.372,0.000,0.890,-16.174,19.287,1.282
-0.365,0.020,0.946,-19.775,15.076,2.502
-0.358,0.024,0.970,-20.325,11.719,4.211
-0.338,0.012,0.965,-18.005,9.521,6.287
-0.320,-0.008,0.948,-15.076,8.423,7.141
-0.305,-0.021,0.893,-12.268,8.240,7.019
-0.309,-0.039,0.866,-10.315,7.385,5.188
-0.320,-0.059,0.870,-10.986,6.348,4.150
-0.312,-0.060,0.863,-14.221,6.897,4.578
-0.320,-0.060,0.887,-18.494,6.653,5.127
-0.326,-0.063,0.926,-21.301,5.432,6.042
-0.300,-0.057,0.947,-21.301,5.249,7.263
-0.271,-0.042,0.940,-18.982,6.104,7.812
-0.260,-0.041,0.912,-14.526,5.432,6.775
-0.272,-0.037,0.866,-10.071,4.272,4.395
-0.283,-0.048,0.818,-6.897,3.052,2.136
-0.306,-0.059,0.818,-6.165,3.113,0.916
-0.313,-0.047,0.840,-6.714,4.578,2.258
-0.309,-0.046,0.857,-6.592,7.996,4.578
-0.262,-0.045,0.881,-5.249,9.705,8.179
-0.200,-0.048,0.879,-3.723,8.911,11.902
-0.183,-0.087,0.867,-4.883,5.676,12.756
-0.187,-0.103,0.913,-9.094,0.793,11.292
-0.107,-0.074,0.930,-8.240,-2.380,10.010
-0.117,-0.095,0.872,0.732,-3.845,7.080
-0.182,-0.151,0.833,9.888,-7.751,1.282
-0.232,-0.172,0.823,12.085,-11.047,-3.845
-0.211,-0.151,0.797,10.681,-10.559,-6.836
-0.217,-0.158,0.767,10.498,-9.155,-9.888
-0.228,-0.193,0.772,9.094,-8.179,-13.611
-0.194,-0.181,0.788,3.906,-6.226,-14.160
-0.167,-0.187,0.815,0.610,-4.150,-14.282
-0.144,-0.202,0.844,-0.610,-3.296,-15.015
-0.117,-0.215,0.843,0.427,-3.906,-15.625
-0.127,-0.244,0.791,2.136,-6.653,-19.592
-0.168,-0.264,0.771,0.122,-12.939,-27.893
-0.197,-0.237,0.778,-5.554,-19.470,-36.255
-0.232,-0.191,0.773,-10.254,-24.475,-42.847
-0.265,-0.150,0.791,-12.512,-28.748,-46.997
-0.238,-0.103,0.770,-11.658,-31.433,-47.119
-0.254,-0.082,0.749,-10.986,-31.799,-45.715
0.018,-0.047,3.286,162.109,57.800,157.593
0.426,-0.115,2.995,237.122,86.487,185.059
0.922,-0.235,2.496,307.068,106.567,188.477
1.347,-0.437,1.896,347.961,100.769,156.555
1.514,-0.770,1.298,340.393,71.411,84.595
1.399,-0.984,0.972,280.945,18.005,-7.446
1.068,-0.870,0.973,191.895,-44.373,-78.003
0.751,-0.680,1.156,109.497,-93.323,-115.662
0.572,-0.616,1.192,49.683,-116.638,-125.977
0.513,-0.537,1.175,4.150,-126.831,-112.671
0.428,-0.450,1.238,-30.884,-135.864,-87.219
0.332,-0.353,1.365,-51.819,-141.663,-56.335
0.252,-0.322,1.518,-58.350,-138.977,-21.790
0.206,-0.335,1.679,-55.054,-126.526,14.038
0.273,-0.297,1.804,-45.166,-108.032,49.072
0.421,-0.218,1.895,-31.006,-91.003,78.064
0.554,-0.224,2.059,-11.841,-80.933,96.313
0.789,-0.224,2.100,14.465,-77.087,106.140
1.147,-0.319,1.952,45.349,-74.097,97.961
1.251,-0.433,1.690,68.787,-80.627,67.383
1.321,-0.416,1.555,65.796,-105.164,34.058
1.359,-0.264,1.534,49.500,-131.958,11.169
1.388,-0.170,1.388,41.443,-149.658,-1.221
1.408,-0.131,1.109,34.729,-164.429,-5.432
1.390,-0.013,0.982,20.630,-183.044,-4.456
1.311,0.079,0.867,7.141,-195.190,1.221
1.318,0.194,0.664,-2.319,-194.946,11.108
1.300,0.296,0.412,-8.972,-191.589,18.005
1.160,0.373,0.266,-12.024,-192.383,16.357
1.147,0.473,0.138,-11.414,-188.049,11.536
1.124,0.530,-0.055,-7.324,-174.377,3.357
0.953,0.529,-0.226,-5.310,-159.790,-10.254
0.812,0.578,-0.233,-13.367,-146.973,-20.874
0.770,0.653,-0.228,-26.672,-128.845,-25.513
0.740,0.680,-0.240,-36.316,-103.882,-27.771
0.735,0.600,-0.191,-44.617,-83.374,-23.621
0.741,0.525,-0.153,-53.406,-66.467,-10.864
0.674,0.480,-0.084,-63.538,-53.406,9.033
0.721,0.440,-0.006,-70.007,-43.762,38.208
0.802,0.349,-0.064,-67.566,-36.926,67.139
0.761,0.180,-0.104,-59.998,-40.283,87.463
0.675,0.017,-0.117,-54.321,-48.889,98.511
0.658,-0.144,-0.105,-49.622,-55.664,101.135
0.537,-0.340,-0.083,-47.241,-56.152,91.980
0.337,-0.474,-0.010,-49.316,-51.270,72.876
0.198,-0.470,0.130,-52.979,-43.579,53.162
0.169,-0.391,0.254,-50.049,-35.828,33.936
0.038,-0.364,0.243,-36.560,-33.630,12.939
-0.059,-0.302,0.252,-21.667,-39.551,-3.113
-0.144,-0.217,0.332,-14.343,-47.363,-15.747
-0.141,-0.093,0.343,-11.536,-51.331,-23.987
-0.167,-0.005,0.283,-6.348,-54.504,-29.907
-0.215,0.041,0.203,-0.671,-62.805,-34.485
-0.216,0.058,0.089,5.005,-75.256,-37.170
-0.252,0.032,-0.077,12.146,-85.999,-40.649
-0.346,0.014,-0.113,14.404,-90.149,-45.410
-0.410,-0.002,-0.152,11.292,-82.642,-46.631
-0.451,-0.000,-0.126,5.798,-67.688,-41.443
-0.475,0.015,-0.044,-0.732,-49.561,-33.569
-0.493,0.040,0.091,-7.751,-32.349,-24.414
-0.500,0.052,0.236,-10.986,-18.738,-13.550
-0.480,0.061,0.382,-10.559,-7.874,-3.967
-0.456,0.035,0.497,-8.362,2.319,3.235
-0.425,0.014,0.565,-5.005,10.254,9.399
-0.384,-0.021,0.596,-1.221,14.465,13.245
-0.380,-0.074,0.614,0.366,15.015,13.184
-0.388,-0.077,0.644,-1.892,16.235,11.841
-0.377,-0.076,0.686,-4.883,20.691,9.338
-0.367,-0.072,0.723,-7.019,24.353,6.287
-0.388,-0.076,0.773,-7.935,24.719,3.967
-0.394,-0.069,0.859,-9.033,24.475,3.845
-0.376,-0.059,0.910,-9.094,22.949,4.639
-0.325,-0.039,0.928,-6.592,22.522,5.493
-0.328,-0.052,0.915,-3.662,17.517,5.371
-0.340,-0.067,0.903,-1.953,10.376,4.028
-0.348,-0.087,0.878,-2.869,5.859,2.380
-0.352,-0.077,0.890,-8.606,1.404,1.709
-0.339,-0.058,0.923,-13.550,-0.854,1.709
-0.348,-0.043,0.948,-15.564,-1.099,1.953
-0.358,-0.051,0.959,-15.076,-0.610,2.197
-0.363,-0.054,0.968,-13.733,1.587,2.441
-0.345,-0.068,0.960,-12.329,3.723,2.991
-0.344,-0.090,0.965,-10.681,6.897,4.150
-0.335,-0.115,0.993,-10.315,9.644,6.348
-0.307,-0.143,1.003,-11.047,12.573,9.216
-0.275,-0.147,1.015,-11.963,13.611,10.376
-0.251,-0.140,1.026,-11.963,11.658,9.888
-0.250,-0.147,1.024,-10.254,9.094,7.690
-0.259,-0.150,1.007,-7.812,7.568,5.432
-0.265,-0.146,0.991,-5.432,6.958,2.991
-0.270,-0.142,0.965,-3.784,7.019,0.854
-0.271,-0.132,0.950,-2.930,7.080,-0.610
-0.277,-0.133,0.935,-3.235,6.409,-1.892
-0.283,-0.129,0.932,-3.845,4.639,-2.014
-0.279,-0.130,0.916,-4.822,3.540,-1.709
-0.274,-0.127,0.911,-6.592,2.075,-1.587
-0.284,-0.126,0.935,-8.301,0.427,-0.549
-0.276,-0.132,0.946,-9.766,0.183,1.038
-0.265,-0.143,0.930,-11.047,0.122,2.502
-0.265,-0.145,0.940,-13.123,-1.526,2.991
-0.264,-0.144,0.950,-14.771,-3.235,3.540
-0.238,-0.149,0.941,-14.893,-3.906,4.211
-0.221,-0.165,0.911,-14.526,-4.150,3.784
-0.226,-0.171,0.898,-15.564,-5.432,1.343
-0.236,-0.160,0.889,-17.578,-7.690,-1.770
-0.249,-0.135,0.858,-18.555,-9.705,-5.371
-0.272,-0.110,0.845,-18.799,-11.475,-9.399
-0.305,-0.087,0.877,-19.104,-11.963,-12.817
-0.316,-0.073,0.892,-17.761,-9.766,-13.489
-0.299,-0.063,0.880,-15.503,-7.019,-11.841
-0.293,-0.062,0.868,-13.184,-5.554,-9.827
-0.304,-0.075,0.861,-11.963,-5.615,-8.240
-0.297,-0.096,0.847,-12.146,-5.127,-6.348
-0.260,-0.075,0.888,-13.550,-4.578,-3.601
-0.243,-0.098,0.892,-12.878,-4.150,-2.319
-0.215,-0.114,0.897,-11.230,-3.601,-1.404
-0.194,-0.149,0.891,-9.949,-3.662,-1.831
-0.185,-0.164,0.894,-9.766,-4.150,-3.967
-0.145,-0.156,0.884,-9.094,-5.432,-6.104
-0.233,-0.551,2.842,62.500,-100.159,10.498
-0.183,-0.585,2.929,45.715,-99.670,1.160
-0.093,-0.582,3.106,16.418,-103.027,-1.831
0.047,-0.549,3.360,-16.357,-112.732,-0.610
0.301,-0.483,3.643,-40.100,-124.207,8.423
0.460,-0.512,3.948,-45.105,-138.184,23.376
0.683,-0.543,4.000,-20.508,-152.283,40.771
1.122,-0.501,4.000,24.902,-162.842,57.739
1.616,-0.421,3.739,79.407,-182.007,69.458
2.003,-0.392,3.244,128.113,-204.346,69.214
2.289,-0.341,2.731,156.738,-225.403,57.922
2.475,-0.236,2.285,164.551,-238.220,41.016
2.496,-0.187,1.900,159.363,-241.211,20.996
2.395,-0.095,1.564,145.325,-233.337,1.099
2.244,0.032,1.248,124.329,-215.576,-14.282
2.123,0.201,1.063,96.619,-197.388,-20.996
1.948,0.427,1.055,66.223,-184.570,-16.724
1.876,0.603,1.131,47.058,-169.250,-5.920
1.834,0.739,1.052,48.340,-149.780,11.169
1.837,0.785,0.857,68.848,-135.193,25.391
1.861,0.768,0.586,92.529,-125.610,29.358
1.920,0.710,0.234,108.765,-119.995,22.156
1.850,0.611,-0.176,109.131,-119.873,-0.366
1.692,0.559,-0.420,88.989,-125.549,-29.541
1.509,0.580,-0.594,54.932,-133.240,-51.147
1.229,0.594,-0.639,16.357,-143.188,-64.575
1.023,0.655,-0.645,-19.226,-147.095,-68.115
0.855,0.682,-0.579,-46.692,-144.348,-61.951
0.716,0.693,-0.481,-61.829,-141.785,-50.110
0.653,0.716,-0.389,-60.242,-131.409,-34.119
0.620,0.737,-0.451,-42.480,-116.028,-18.005
0.570,0.619,-0.612,-17.761,-102.661,-10.254
0.465,0.448,-0.821,-3.784,-93.750,-7.996
0.362,0.342,-0.923,-7.751,-90.576,-7.324
0.278,0.272,-0.917,-22.705,-90.576,-7.446
0.170,0.212,-0.857,-43.213,-90.942,-9.705
0.033,0.181,-0.688,-63.843,-90.820,-12.390
