aX,aY,aZ,gX,gY,gZ
1.457,-1.227,1.245,-54.993,104.004,369.080
1.567,-1.222,1.305,-59.875,89.722,368.042
1.693,-1.330,1.391,-65.369,71.655,362.854
1.744,-1.414,1.474,-73.669,51.453,352.356
1.795,-1.499,1.453,-83.679,34.424,335.327
1.767,-1.687,1.301,-90.210,20.813,315.918
1.648,-1.844,1.176,-90.881,3.113,298.706
1.529,-1.937,0.995,-85.510,-8.911,277.161
1.428,-2.005,0.882,-74.097,-16.602,248.291
1.356,-2.022,0.827,-57.434,-17.456,216.858
1.294,-1.953,0.830,-38.330,-5.981,191.467
1.153,-2.112,0.715,-18.982,10.986,158.325
1.058,-1.972,0.727,-8.179,28.625,128.357
0.918,-1.852,0.754,5.493,40.833,109.985
0.739,-1.733,0.644,17.395,50.110,92.163
0.693,-1.580,0.695,29.907,45.044,71.594
0.675,-1.414,0.714,37.720,36.560,48.096
0.666,-1.227,0.729,39.185,29.480,27.161
0.653,-1.043,0.727,37.292,24.719,13.977
0.578,-0.884,0.687,34.180,21.790,8.240
0.546,-0.776,0.649,31.006,17.700,9.521
0.546,-0.702,0.594,26.794,11.047,16.602
0.560,-0.674,0.534,20.325,4.028,25.818
0.589,-0.690,0.482,9.460,-2.563,32.410
0.621,-0.743,0.444,-3.418,-7.446,35.522
0.671,-0.760,0.435,-13.672,-10.742,36.804
0.726,-0.852,0.454,-17.090,-11.536,38.208
0.736,-0.969,0.433,-17.212,-7.202,32.349
0.764,-0.944,0.445,-17.395,-2.930,29.602
0.777,-0.929,0.499,-11.475,2.136,27.588
0.699,-0.935,0.416,-6.104,7.996,25.085
0.674,-0.901,0.419,-1.587,6.470,19.897
0.702,-0.875,0.431,1.953,0.854,12.451
0.723,-0.838,0.443,2.808,-3.235,5.981
0.725,-0.797,0.439,1.343,-5.310,1.282
0.724,-0.767,0.419,-1.770,-5.371,-2.991
0.734,-0.763,0.430,-3.479,-5.066,-5.615
0.737,-0.742,0.440,-3.723,-4.089,-6.104
0.717,-0.734,0.437,-3.174,-1.282,-6.165
0.694,-0.712,0.440,-2.869,1.404,-6.775
0.698,-0.700,0.458,-1.770,3.418,-7.996
0.698,-0.687,0.482,0.061,4.700,-8.545
0.672,-0.671,0.490,1.404,6.226,-7.996
0.658,-0.653,0.488,1.465,7.202,-8.972
0.665,-0.647,0.501,1.160,6.714,-10.620
0.659,-0.641,0.502,0.427,5.615,-11.719
0.654,-0.639,0.496,-0.061,4.700,-12.573
0.654,-0.613,0.483,-0.488,2.747,-13.977
0.647,-0.583,0.476,-0.854,0.977,-15.686
0.653,-0.553,0.477,-0.671,0.183,-16.907
0.665,-0.533,0.496,-0.061,0.000,-16.174
0.662,-0.517,0.494,-0.305,1.099,-14.282
0.649,-0.502,0.489,-1.343,2.808,-12.451
0.644,-0.508,0.472,-1.526,3.723,-11.902
0.657,-0.526,0.478,-0.488,3.601,-10.864
0.671,-0.538,0.473,1.465,3.052,-9.155
0.667,-0.542,0.449,3.601,3.113,-7.812
0.675,-0.557,0.447,6.287,2.686,-7.507
0.673,-0.559,0.447,8.850,2.808,-7.385
0.663,-0.553,0.438,10.681,3.357,-7.507
0.676,-0.553,0.457,12.634,3.845,-7.446
0.681,-0.555,0.469,13.245,5.249,-6.653
0.672,-0.553,0.471,12.939,7.385,-5.798
0.665,-0.550,0.463,12.451,8.423,-5.188
0.660,-0.557,0.471,11.841,7.812,-4.272
0.645,-0.553,0.468,10.071,6.042,-3.479
0.638,-0.553,0.456,8.484,3.845,-2.930
0.646,-0.553,0.459,7.690,1.160,-2.380
0.654,-0.554,0.454,6.653,-0.610,-1.526
0.663,-0.569,0.455,5.493,-1.160,-0.488
0.664,-0.574,0.451,3.723,-0.732,0.244
0.673,-0.581,0.455,1.526,-0.122,-0.244
0.656,-0.600,0.455,-0.793,0.793,-1.221
0.662,-0.614,0.463,-2.502,1.282,-1.282
0.658,-0.624,0.463,-3.052,1.038,-1.953
0.668,-0.632,0.470,-2.197,0.610,-2.991
0.662,-0.632,0.466,-1.404,0.305,-3.357
0.651,-0.616,0.455,-1.221,-0.244,-4.150
0.653,-0.610,0.455,-1.099,-1.038,-5.737
0.659,-0.611,0.462,-0.244,-1.953,-6.226
0.655,-0.610,0.470,1.221,-2.930,-5.188
0.644,-0.596,0.473,2.563,-3.418,-4.822
0.646,-0.582,0.475,3.967,-3.601,-4.822
0.658,-0.585,0.493,5.066,-4.456,-3.784
0.660,-0.589,0.488,5.005,-4.700,-1.770
0.656,-0.595,0.478,3.967,-4.517,-0.671
0.658,-0.604,0.469,2.380,-4.578,-1.221
0.667,-0.621,0.473,1.160,-4.456,-1.770
0.663,-0.632,0.470,0.732,-4.028,-2.014
0.655,-0.631,0.465,0.183,-3.601,-2.930
0.659,-0.633,0.473,0.427,-3.235,-4.272
0.659,-0.631,0.473,1.770,-2.869,-4.822
0.656,-0.624,0.474,3.845,-2.808,-4.456
0.658,-0.626,0.478,5.798,-2.380,-4.395
0.656,-0.629,0.478,7.568,-1.465,-4.578
0.648,-0.625,0.473,9.277,-1.221,-4.822
0.649,-0.623,0.472,10.864,-1.099,-5.005
0.654,-0.615,0.474,11.902,-0.671,-4.211
0.649,-0.611,0.471,11.719,-0.305,-3.418
0.644,-0.604,0.463,10.315,0.244,-3.113
0.646,-0.608,0.464,8.423,0.549,-2.930
0.648,-0.609,0.466,6.775,0.610,-2.625
0.644,-0.615,0.471,5.493,0.427,-2.014
0.639,-0.620,0.468,4.639,-0.427,-1.099
0.642,-0.616,0.467,4.211,-1.709,-0.122
0.646,-0.631,0.465,4.211,-3.052,0.793
0.642,-0.634,0.457,3.845,-4.028,1.343
0.644,-0.639,0.444,3.845,-4.883,0.977
0.661,-0.654,0.452,4.456,-5.676,0.916
0.667,-0.662,0.450,4.578,-5.371,1.160
0.667,-0.667,0.441,4.456,-4.456,0.977
0.666,-0.675,0.443,3.906,-4.028,0.732
0.665,-0.672,0.443,3.113,-3.540,0.061
0.663,-0.668,0.443,2.441,-2.808,-1.343
0.664,-0.667,0.442,1.831,-2.136,-2.441
0.658,-0.660,0.441,0.916,-1.465,-2.441
0.648,-0.649,0.440,0.244,-1.160,-3.052
1.864,-1.401,1.099,-180.847,-60.303,473.328
1.968,-1.613,1.233,-258.972,-57.190,426.208
2.067,-1.753,1.458,-317.017,-48.889,381.409
2.171,-1.818,1.684,-351.868,-37.415,349.976
2.193,-1.878,1.864,-365.234,-23.682,328.552
2.327,-1.995,2.020,-358.276,-11.108,315.735
2.301,-2.106,2.064,-328.125,7.263,313.416
2.160,-2.181,2.161,-292.053,9.705,331.482
2.190,-2.250,1.873,-247.131,12.756,353.577
1.911,-2.365,1.852,-194.946,5.859,366.455
1.771,-2.514,1.702,-139.648,-12.451,365.601
1.644,-2.664,1.318,-95.764,-17.273,354.187
1.455,-2.791,0.910,-58.838,-27.405,332.886
1.584,-3.190,0.678,-39.490,-29.480,293.213
0.992,-3.400,0.246,-36.438,-21.179,244.385
1.060,-3.520,0.370,-20.020,-17.334,165.283
0.901,-2.828,0.800,-15.747,5.493,59.448
0.783,-2.185,0.642,-19.531,59.509,-36.926
0.558,-1.587,0.805,-26.001,85.815,-96.924
0.443,-1.050,0.884,-33.691,80.200,-111.328
0.372,-0.711,0.960,-41.138,60.913,-94.421
0.334,-0.518,0.948,-48.157,35.217,-59.570
0.343,-0.481,0.883,-50.964,12.268,-20.813
0.415,-0.637,0.830,-47.180,-5.310,13.855
0.508,-0.903,0.763,-38.269,-16.418,43.457
0.583,-1.212,0.657,-26.001,-21.851,65.430
0.661,-1.513,0.558,-11.780,-23.743,77.087
0.708,-1.701,0.490,2.747,-21.790,77.026
