aX,aY,aZ,gX,gY,gZ
0.823,-0.142,0.447,-2.808,4.028,2.563
0.836,-0.147,0.453,-2.686,3.052,0.671
0.857,-0.143,0.453,-2.258,3.479,0.366
0.867,-0.138,0.441,-0.732,6.653,0.977
0.866,-0.121,0.419,0.366,8.972,2.197
0.860,-0.111,0.413,0.183,7.690,2.563
0.854,-0.114,0.432,-1.221,3.296,1.831
0.850,-0.122,0.455,-2.747,-0.488,0.854
0.846,-0.132,0.473,-2.563,-1.526,-0.061
0.849,-0.143,0.480,-1.282,-0.366,-0.732
0.847,-0.150,0.483,-0.183,0.793,-0.427
0.834,-0.141,0.470,-0.610,2.075,0.366
0.827,-0.131,0.457,-1.770,2.502,0.061
0.829,-0.136,0.443,-3.540,1.221,-1.648
0.842,-0.147,0.441,-4.395,-0.366,-2.686
0.850,-0.161,0.435,-3.723,-1.038,-2.747
0.847,-0.161,0.448,-1.770,-2.014,-2.014
0.842,-0.153,0.475,0.732,-2.747,-1.831
0.838,-0.155,0.497,2.075,-2.991,-2.380
0.852,-0.172,0.519,2.258,-3.296,-3.113
0.862,-0.178,0.530,1.404,-2.075,-2.441
0.857,-0.167,0.527,-0.732,0.366,-1.038
0.852,-0.154,0.500,-3.540,2.625,0.000
0.850,-0.153,0.473,-6.165,3.296,-0.122
0.856,-0.162,0.463,-6.897,2.930,-1.038
0.849,-0.160,0.457,-6.714,3.174,-1.526
0.847,-0.158,0.445,-5.432,3.540,-2.319
0.855,-0.157,0.434,-3.601,2.869,-3.174
-0.370,0.474,-3.126,171.631,80.688,-67.505
-0.498,0.449,-3.224,203.735,67.078,-82.581
-0.628,0.402,-3.240,234.680,45.776,-100.098
-0.734,0.330,-3.209,262.939,21.362,-121.277
-0.847,0.216,-3.163,288.635,-3.418,-146.851
-0.906,0.074,-3.074,315.247,-26.001,-175.598
-0.940,-0.092,-2.958,345.032,-46.143,-207.214
-0.914,-0.290,-2.796,377.075,-65.247,-237.915
-0.828,-0.531,-2.565,406.250,-86.914,-263.977
-0.739,-0.740,-2.289,425.354,-112.854,-280.457
-0.651,-0.920,-1.973,436.462,-142.029,-286.499
-0.535,-1.025,-1.623,439.453,-171.265,-285.889
-0.407,-1.152,-1.239,437.012,-199.463,-283.020
-0.259,-1.304,-0.797,433.167,-227.600,-277.466
-0.089,-1.455,-0.304,418.152,-249.146,-266.602
0.048,-1.523,0.123,387.207,-257.751,-247.009
0.161,-1.457,0.417,348.267,-250.488,-218.994
0.233,-1.357,0.566,318.176,-227.417,-193.604
0.307,-1.303,0.636,306.885,-194.336,-175.659
0.405,-1.347,0.696,308.838,-164.062,-164.246
0.513,-1.430,0.835,311.584,-147.644,-152.710
0.551,-1.412,0.997,300.903,-142.761,-138.428
0.568,-1.401,1.178,282.593,-144.531,-126.526
0.628,-1.406,1.402,260.681,-145.935,-119.202
0.667,-1.445,1.550,235.901,-139.526,-113.037
0.717,-1.432,1.639,211.243,-123.535,-101.746
0.728,-1.377,1.625,190.247,-97.290,-88.074
0.715,-1.284,1.544,174.622,-69.946,-75.256
0.697,-1.209,1.478,161.987,-50.232,-68.237
0.705,-1.190,1.440,146.729,-41.260,-66.772
0.731,-1.186,1.381,126.648,-38.208,-65.125
0.755,-1.191,1.360,107.788,-39.124,-61.951
0.776,-1.170,1.349,94.238,-36.621,-57.434
0.787,-1.137,1.286,85.266,-26.550,-51.025
0.777,-1.071,1.185,78.064,-13.123,-44.189
0.780,-1.000,1.094,71.838,-3.357,-39.001
0.797,-0.954,1.009,64.392,1.099,-36.133
0.827,-0.913,0.975,55.786,0.061,-33.447
0.854,-0.865,0.966,47.180,-2.380,-29.602
0.868,-1.149,1.183,40.283,-1.831,-27.222
1.289,-1.650,1.298,44.495,25.940,-76.416
1.602,-1.547,1.156,33.508,10.498,-69.885
1.314,-1.265,1.099,10.315,-2.441,-7.996
0.994,-0.789,1.070,2.991,4.761,44.495
0.745,-0.470,0.779,-14.893,26.794,69.824
0.700,-0.333,0.552,-18.250,51.636,80.566
0.580,-0.030,0.443,-26.489,46.509,74.585
0.572,0.069,0.403,-35.950,29.541,56.396
0.617,0.111,0.412,-37.842,18.982,41.565
0.656,0.128,0.377,-29.602,21.973,29.114
0.706,0.142,0.339,-16.968,29.236,22.522
0.722,0.173,0.348,-7.446,27.893,19.226
0.745,0.186,0.384,-2.563,24.231,17.212
0.772,0.208,0.389,-2.625,23.804,16.418
0.803,0.228,0.335,-5.249,27.466,16.418
0.828,0.231,0.277,-6.836,29.785,14.954
0.849,0.217,0.224,-6.531,30.273,12.817
0.865,0.200,0.179,-5.066,28.076,10.132
0.875,0.177,0.172,-2.869,21.545,7.568
0.881,0.155,0.192,-0.244,13.611,4.517
0.891,0.115,0.217,2.197,7.996,0.854
0.912,0.081,0.230,4.700,4.517,-2.319
0.933,0.053,0.264,7.385,0.549,-4.578
0.957,0.016,0.311,9.766,-3.235,-6.470
0.977,-0.021,0.351,10.559,-5.859,-6.958
0.995,-0.051,0.389,9.094,-8.301,-6.653
1.007,-0.083,0.431,6.958,-9.399,-5.005
1.004,-0.084,0.456,5.188,-7.385,-3.479
0.997,-0.089,0.443,3.174,-3.662,-1.831
0.983,-0.088,0.434,2.014,-1.587,0.366
0.967,-0.080,0.432,1.221,-1.526,2.136
0.951,-0.080,0.449,0.061,-3.662,2.869
0.941,-0.092,0.467,-1.709,-5.920,3.601
0.930,-0.100,0.473,-3.052,-6.470,5.310
0.917,-0.088,0.467,-3.357,-4.272,7.446
0.897,-0.064,0.454,-2.197,-0.366,9.216
0.886,-0.046,0.434,-0.916,2.808,9.827
0.883,-0.041,0.425,-1.404,3.174,9.216
0.878,-0.040,0.434,-3.418,1.038,8.850
0.878,-0.047,0.448,-5.676,-1.038,8.789
0.854,-0.037,0.451,-7.751,-1.038,8.545
0.841,-0.028,0.430,-8.301,1.770,8.972
0.821,-0.005,0.400,-7.996,5.066,8.972
0.807,0.005,0.383,-7.202,5.737,7.202
0.812,0.001,0.389,-6.714,3.540,3.845
0.828,-0.010,0.404,-7.019,0.549,0.732
0.846,-0.030,0.418,-7.263,-0.793,-1.404
0.858,-0.036,0.423,-7.019,-0.244,-1.282
0.864,-0.024,0.410,-6.042,1.892,-0.366
0.872,-0.024,0.401,-5.005,3.601,-0.061
0.883,-0.034,0.402,-4.883,3.784,-0.183
0.897,-0.032,0.396,-6.531,3.418,0.061
0.902,-0.030,0.395,-7.874,2.563,0.183
0.914,-0.029,0.406,-7.629,1.282,-0.671
0.926,-0.037,0.422,-7.874,-0.549,-1.953
0.933,-0.046,0.431,-9.155,-2.075,-2.441
0.935,-0.052,0.436,-10.620,-2.991,-1.892
0.933,-0.053,0.437,-11.780,-3.052,-0.549
0.927,-0.057,0.433,-13.000,-2.197,0.671
